author,work,line count
anonymous,laudes_domini,149
ausonius,cupido_cruciatus,103
ausonius,de_herediolo,33
ausonius,de_xii_caesaribus,29
ausonius,eclogarum_liber,445
ausonius,ephemeris_id_est_totius_diei_negotium,234
ausonius,epigrammata_ausonii_de_diversis_rebus,613
ausonius,epistularum,1623
ausonius,epitaphia_heroum_qui_bello_troico_interfuerunt,185
ausonius,griphus_ternarii_numeri,90
ausonius,libri_de_fastis_conclusio,24
ausonius,ludus_septem_sapientum,231
ausonius,mosella,484
ausonius,oratio_consulis_ausonii_versibus_rhopalicis,42
ausonius,ordo_urbium_nobilium,168
ausonius,praefatiunculae,67
ausonius,precationes,69
ausonius,versus_paschales_pro_augusto_dicti,31
catullus,carmina,2286
claudian,carmina_minora,1808
claudian,de_bello_gildonico,526
claudian,de_bello_gothico,665
claudian,de_consulatu_stilichonis,1254
claudian,de_raptu_proserpinae,1172
claudian,epithalamium_de_nuptiis_honorii_augusti,363
claudian,in_consulatum_olybrii_et_probini,279
claudian,in_eutropium,1191
claudian,in_rufinum,952
claudian,panegyricus_de_quarto_consulatu_honorii_augusti,656
claudian,panegyricus_de_sexto_consulatu_honorii_augusti,686
claudian,panegyricus_de_tertio_consulatu_honorii_augusti,229
claudian,panegyricus_dictus_manlio_theodoro_consuli,360
corippus,johannis,4667
dracontius,de_laudibus_dei,2327
dracontius,orestes,974
dracontius,romulea,2356
dracontius,satisfactio,316
ennius,annales,680
ennodius,opera,1955
horace,ars_poetica,476
horace,carmen_saeculare,76
horace,epistles,1492
horace,epodes,625
horace,odes,3034
horace,satires,2113
italicus,ilias_latina,1071
juvenal,satires,3853
juvencus,historia_evangelica,3182
lucan,bellum_civile,8061
lucretius,de_rerum_natura,7425
manilius,astronomicon,4293
martial,epigrams,6399
ovid,amores,2458
ovid,ars_amatoria,2330
ovid,ex_ponto,3194
ovid,fasti,4972
ovid,heroides,3970
ovid,ibis,642
ovid,medicamina_faciei_femineae,100
ovid,metamorphoses,11996
ovid,remedia_amoris,814
ovid,tristia,3532
paulus_diaconus,carmina,1714
persius,satires,650
plautus,amphitruo,1175
plautus,asinaria,939
plautus,aulularia,847
plautus,bacchides,1253
plautus,captivi,1037
plautus,casina,961
plautus,cistellaria,680
plautus,curculio,727
plautus,epidicus,741
plautus,menaechmi,1155
plautus,mercator,1019
plautus,miles_gloriosus,1431
plautus,mostellaria,1174
plautus,persa,863
plautus,poenulus,1441
plautus,pseudolus,1355
plautus,rudens,1428
plautus,stichus,772
plautus,trinummus,1200
plautus,truculentus,966
polignac,antilucretius,11935
polignac,epia,6730
polignac,imitatio,716
priscian,carmen_in_laudem_Anastasii_imperatoris,668
priscian,perihegesis,2174
propertius,elegies,3982
prudentius,apotheosis,1152
prudentius,contra_symmachum,1944
prudentius,dittochaeon,196
prudentius,epilogus,34
prudentius,hamartigenia,1029
prudentius,psychomachia,984
rutilius,de_reditu,712
seneca,agamemnon,1060
seneca,hercules_furens,1394
seneca,hercules_oetaeus,2039
seneca,medea,1068
seneca,octavia,1020
seneca,oedipus,1092
seneca,phaedra,1308
seneca,phoenissae,672
seneca,thyestes,1166
seneca,troades,1214
silius_italicus,punica,12198
statius,achilleid,1127
statius,silvae,3893
statius,thebaid,9731
terence,adelphi,1013
terence,andria,982
terence,eunuchus,1120
terence,heautontimorumenos,1112
terence,hecyra,882
terence,phormio,1079
tibullus,elegies,1929
valerius_flaccus,argonautica,5592
vergil,aeneid,9896
vergil,eclogues,828
vergil,georgics,2183
